gene_id	CK0816_S1.htseq.count	CK0817_S2.htseq.count	CK0818_S3.htseq.count	CK0819_S4.htseq.count	CK0820_S5.htseq.count	CK0821_S6.htseq.count	CK0822_S7.htseq.count	CK0823_S8.htseq.count	CK0824_S9.htseq.count
ENSG00000015520	32	58	32	148	128	166	215	257	220
ENSG00000015532	486	482	668	710	444	469	1161	719	805
ENSG00000015568	338	76	103	137	162	164	132	139	118
ENSG00000015592	3	6	15	28	10	17	9	17	27
ENSG00000015676	1872	1361	1922	1083	1053	1139	1965	1458	1557
ENSG00000016082	281	181	211	312	270	371	516	391	451
ENSG00000016391	494	362	610	358	391	413	605	548	644
ENSG00000016402	0	0	0	3	1	2	1	1	1
ENSG00000016490	0	1	0	6	2	1	2	3	1
ENSG00000016602	1	6	2	8	5	3	7	10	4
ENSG00000016864	1481	832	1888	958	964	932	1731	1324	1306
ENSG00000017260	2618	1782	2491	1653	1567	1448	2677	1857	1927
ENSG00000017427	22	26	13	35	33	59	69	50	44
ENSG00000017483	0	2	0	11	5	2	12	8	6
ENSG00000017797	1345	981	1188	668	531	648	1304	812	830
ENSG00000018189	2322	1493	2309	2478	2029	2106	3920	2604	2684
ENSG00000018236	453	237	598	325	297	263	646	298	344
ENSG00000018280	2	3	4	10	25	23	13	48	28
ENSG00000018408	594	484	516	581	510	467	843	605	671
ENSG00000018510	5558	3201	5708	2444	2516	2442	4319	3398	3561
ENSG00000018607	0	0	0	0	0	0	0	0	0
ENSG00000018610	1385	912	1448	599	573	737	1123	876	946
ENSG00000018625	2	5	1	100	99	130	72	120	88
ENSG00000018699	1194	762	1208	665	546	570	951	891	838
ENSG00000018869	89	86	119	28	46	53	69	94	76
ENSG00000019102	19	24	9	26	19	19	26	33	25
ENSG00000019144	284	332	386	246	266	286	515	395	510
ENSG00000019169	0	0	1	1	2	2	3	0	1
ENSG00000019186	0	2	1	0	6	1	1	0	1
ENSG00000019485	237	193	183	66	110	91	125	129	164
ENSG00000019505	33	23	46	49	52	33	92	27	77
ENSG00000019549	509	335	322	578	377	401	929	418	401
ENSG00000019582	54	59	36	161	170	185	246	251	289
ENSG00000019991	9	9	7	18	9	10	36	29	22
ENSG00000019995	769	751	524	438	437	430	712	573	551
ENSG00000020129	893	716	1101	461	367	373	895	553	760
ENSG00000020181	69	76	74	89	100	121	271	159	190
ENSG00000020219	0	0	1	7	12	3	8	15	21
ENSG00000020256	748	675	795	518	469	542	1060	654	822
ENSG00000020426	1277	862	1413	862	823	810	1489	1175	1178
ENSG00000020577	962	810	817	604	490	501	926	594	711
ENSG00000020633	33	20	21	35	31	22	57	41	35
ENSG00000020922	3200	2022	3007	2221	2196	2109	3844	2913	3029
ENSG00000021300	83	78	97	64	55	58	79	92	84
ENSG00000021355	389	384	512	201	136	179	324	207	235
ENSG00000021461	8	11	11	33	42	40	42	61	41
ENSG00000021488	20	19	11	30	24	34	23	55	31
ENSG00000021574	1978	1205	1874	1099	999	876	1730	1218	1274
ENSG00000021645	328	141	142	605	566	493	993	646	792
ENSG00000021762	167	172	302	188	129	141	333	170	216
ENSG00000021776	2790	1698	2594	1856	1699	1798	2936	2113	2456
ENSG00000021826	1335	899	1274	593	598	628	919	826	859
ENSG00000021852	1	0	1	11	3	7	9	8	9
ENSG00000022267	6034	4819	5211	2698	2547	2398	5642	3484	3289
ENSG00000022277	1022	666	1088	578	522	569	954	683	719
ENSG00000022355	0	0	0	0	0	0	0	1	0
ENSG00000022556	1	2	3	14	21	22	7	12	26
ENSG00000022567	170	189	189	89	94	86	147	149	132
ENSG00000022840	3745	3759	3269	1533	1550	1448	2658	2085	2060
ENSG00000022976	239	224	424	309	339	380	490	447	552
ENSG00000023041	1916	1152	1835	1385	1188	1295	2406	1647	1725
ENSG00000023171	177	159	177	207	169	148	417	217	275
ENSG00000023191	1040	911	1183	624	622	593	1131	868	1096
ENSG00000023228	4468	2919	4617	2957	2765	2665	4856	3639	3877
ENSG00000023287	4364	3091	3915	3311	3105	3110	5249	3412	3646
ENSG00000023318	2088	1491	1909	1008	1000	1113	1809	1361	1513
ENSG00000023330	1297	978	1386	879	713	798	1359	971	1157
ENSG00000023445	83	75	166	155	144	134	279	137	176
ENSG00000023516	4746	3608	3852	3420	3103	3184	5779	4209	4142
ENSG00000023572	887	528	987	468	441	416	820	722	606
ENSG00000023608	437	361	564	331	308	296	631	375	372
ENSG00000023697	397	313	589	504	482	489	756	566	621
ENSG00000023734	4039	2641	3404	1914	1826	1762	3219	2217	2292
ENSG00000023839	179	118	142	291	186	235	353	219	323
ENSG00000023892	44	33	95	146	102	106	190	109	114
ENSG00000023902	503	437	450	246	217	249	429	338	387
ENSG00000023909	1650	887	1540	697	669	739	1247	985	929
ENSG00000024048	3198	2312	2997	2260	2004	2055	3250	2288	2509
ENSG00000024422	18	26	19	22	19	10	61	37	40
ENSG00000024526	8102	4845	10105	2880	3147	3191	5125	4252	4163
ENSG00000024862	524	419	601	236	233	202	356	258	261
ENSG00000025039	889	585	918	864	871	855	1546	1032	1001
ENSG00000025156	3507	2054	3071	2394	2156	2222	4080	2535	2558
ENSG00000025293	1881	1421	1564	1378	1172	1087	2202	1456	1523
ENSG00000025423	109	60	115	56	77	48	111	70	83
ENSG00000025434	140	179	244	190	190	200	286	239	330
ENSG00000025708	90	94	165	90	121	146	169	176	199
ENSG00000025770	2543	2196	2247	1308	1261	1455	2569	1628	2092
ENSG00000025772	963	719	1201	475	432	418	803	578	633
ENSG00000025796	3414	2451	2582	1462	1441	1424	2629	1907	1792
ENSG00000025800	4733	3443	3748	3598	2806	2794	7612	3988	4554
ENSG00000026025	6984	6121	8059	1998	1625	1538	4228	2675	2541
ENSG00000026036	156	160	137	114	93	69	168	109	113
